City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
49,yellowknife,62.456,-114.3525,29.67,45,75,3.6,CA,1721776993
50,wailua homesteads,22.0669,-159.378,26.44,89,75,6.17,US,1721776995
51,khandyga,62.6667,135.6,20.79,72,99,1.05,RU,1721776996
52,hawaiian paradise park,19.5933,-154.9731,25.73,91,100,4.63,US,1721776996
53,iskateley,67.6803,53.1512,7.83,87,5,2.92,RU,1721776997
54,nizhneangarsk,55.7833,109.55,15.38,83,97,1.86,RU,1721776997
55,jeddah,21.5169,39.2192,33.92,43,0,2.06,SA,1721776998
56,lewistown,40.5992,-77.5714,28.44,100,100,0.83,US,1721776998
57,hirara,24.8,125.2833,27.92,94,75,13.38,JP,1721776999
58,dwarka,22.2394,68.9678,27.72,87,100,9.54,IN,1721777000
59,afaahiti,-17.75,-149.2833,25.93,74,55,7.29,PF,1721777001
60,orda,57.1951,56.9091,12.18,95,100,1.93,RU,1721777001
61,college,64.8569,-147.8028,29.99,37,20,2.57,US,1721777002
62,retreat,38.8245,-85.8533,30.18,52,60,0.89,US,1721777002
63,albany,42.6001,-73.9662,25.57,81,76,1.08,US,1721777003
64,dinhata,26.1333,89.4667,26.74,91,100,3.43,IN,1721777003
65,utrik,11.2278,169.8474,27.9,75,26,6.25,MH,1721776873
66,capao bonito,-24.0058,-48.3494,12.79,78,44,2.15,BR,1721777005
67,haiku-pauwela,20.9219,-156.3051,30.09,69,40,12.86,US,1721777005
68,atafu village,-8.5421,-172.5159,27.77,80,56,7.27,TK,1721777006
69,tiksi,71.6872,128.8694,7.4,64,26,1.67,RU,1721777006
70,longyearbyen,78.2186,15.6401,8.91,93,75,0.51,SJ,1721777007
71,ilulissat,69.2167,-51.1,7.01,87,75,2.06,GL,1721777007
72,st. john's,47.5649,-52.7093,20.15,64,75,6.17,CA,1721776832
73,udachny,66.4167,112.4,11.88,52,95,5.78,RU,1721777008
74,khandud,36.9513,72.318,15.78,59,18,2.65,AF,1721777009
75,brandon,27.9378,-82.2859,31.61,84,100,7.2,US,1721776772
76,taoudenni,22.6783,-3.9836,39.73,20,0,3.97,ML,1721777010
77,saudarkrokur,65.7461,-19.6394,11.38,87,100,7.18,IS,1721777011
78,alice springs,-23.7,133.8833,13.75,30,0,3.09,AU,1721776755
79,isla cristina,37.2,-7.3167,26.32,48,0,0.69,ES,1721777012
80,dakhla,23.6848,-15.958,19.37,93,6,6.05,EH,1721777012
81,xam nua,20.4197,104.0439,20.56,100,100,0.73,LA,1721777013
